# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_002506275.1,ASM250627v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/275/GCA_002506275.1_ASM250627v1,GCA_002506275.1,Scaffold,ASM250627v1,PRJNA348753,SAMN06027160,GCA_002506275.1,full,Euryarchaeota archaeon UBA259,na,GCA_002506275.1,
GCA_002506335.1,ASM250633v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/335/GCA_002506335.1_ASM250633v1,GCA_002506335.1,Scaffold,ASM250633v1,PRJNA348753,SAMN06027416,GCA_002506335.1,full,Methanosaeta sp. UBA114,na,GCA_002506335.1,
GCA_002506365.1,ASM250636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/365/GCA_002506365.1_ASM250636v1,GCA_002506365.1,Scaffold,ASM250636v1,PRJNA348753,SAMN06027042,GCA_002506365.1,full,archaeon UBA583,na,GCA_002506365.1,
GCA_002506425.1,ASM250642v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/425/GCA_002506425.1_ASM250642v1,GCA_002506425.1,Scaffold,ASM250642v1,PRJNA348753,SAMN06027230,GCA_002506425.1,full,Methanomassiliicoccaceae archaeon UBA480,na,GCA_002506425.1,
GCA_002506485.1,ASM250648v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/485/GCA_002506485.1_ASM250648v1,GCA_002506485.1,Scaffold,ASM250648v1,PRJNA348753,SAMN06027132,GCA_002506485.1,full,Euryarchaeota archaeon UBA136,na,GCA_002506485.1,
GCA_002506515.1,ASM250651v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/515/GCA_002506515.1_ASM250651v1,GCA_002506515.1,Scaffold,ASM250651v1,PRJNA348753,SAMN06027409,GCA_002506515.1,full,Caldivirga sp. UBA161,na,GCA_002506515.1,
GCA_002506535.1,ASM250653v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/535/GCA_002506535.1_ASM250653v1,GCA_002506535.1,Scaffold,ASM250653v1,PRJNA348753,SAMN06027621,GCA_002506535.1,full,Methanosaeta harundinacea,na,GCA_002506535.1,
GCA_002506585.1,ASM250658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/585/GCA_002506585.1_ASM250658v1,GCA_002506585.1,Scaffold,ASM250658v1,PRJNA348753,SAMN06027562,GCA_002506585.1,full,Methanoculleus sp. UBA430,na,GCA_002506585.1,
GCA_002506595.1,ASM250659v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/595/GCA_002506595.1_ASM250659v1,GCA_002506595.1,Scaffold,ASM250659v1,PRJNA348753,SAMN06027508,GCA_002506595.1,full,Acidilobaceae archaeon UBA158,na,GCA_002506595.1,
GCA_002506605.1,ASM250660v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/605/GCA_002506605.1_ASM250660v1,GCA_002506605.1,Scaffold,ASM250660v1,PRJNA348753,SAMN06027411,GCA_002506605.1,full,Thaumarchaeota archaeon UBA160,na,GCA_002506605.1,
GCA_002506645.1,ASM250664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/645/GCA_002506645.1_ASM250664v1,GCA_002506645.1,Scaffold,ASM250664v1,PRJNA348753,SAMN06027509,GCA_002506645.1,full,Vulcanisaeta distributa,na,GCA_002506645.1,
GCA_002506665.1,ASM250666v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/665/GCA_002506665.1_ASM250666v1,GCA_002506665.1,Scaffold,ASM250666v1,PRJNA348753,SAMN06027227,GCA_002506665.1,full,Nitrosopumilus sp. UBA526,na,GCA_002506665.1,
GCA_002506705.1,ASM250670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/705/GCA_002506705.1_ASM250670v1,GCA_002506705.1,Scaffold,ASM250670v1,PRJNA348753,SAMN06027280,GCA_002506705.1,full,Euryarchaeota archaeon UBA550,na,GCA_002506705.1,
GCA_002506745.1,ASM250674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/745/GCA_002506745.1_ASM250674v1,GCA_002506745.1,Scaffold,ASM250674v1,PRJNA348753,SAMN06027368,GCA_002506745.1,full,Euryarchaeota archaeon UBA33,na,GCA_002506745.1,
GCA_002506755.1,ASM250675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/755/GCA_002506755.1_ASM250675v1,GCA_002506755.1,Scaffold,ASM250675v1,PRJNA348753,SAMN06027476,GCA_002506755.1,full,Euryarchaeota archaeon UBA462,na,GCA_002506755.1,
GCA_002506825.1,ASM250682v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/825/GCA_002506825.1_ASM250682v1,GCA_002506825.1,Scaffold,ASM250682v1,PRJNA348753,SAMN06027599,GCA_002506825.1,full,Euryarchaeota archaeon UBA103,na,GCA_002506825.1,
GCA_002506875.1,ASM250687v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/875/GCA_002506875.1_ASM250687v1,GCA_002506875.1,Scaffold,ASM250687v1,PRJNA348753,SAMN06027027,GCA_002506875.1,full,Euryarchaeota archaeon UBA40,na,GCA_002506875.1,
GCA_002506905.1,ASM250690v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/506/905/GCA_002506905.1_ASM250690v1,GCA_002506905.1,Scaffold,ASM250690v1,PRJNA348753,SAMN06027624,GCA_002506905.1,full,Methanomassiliicoccaceae archaeon UBA328,na,GCA_002506905.1,
GCA_002507085.1,ASM250708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/085/GCA_002507085.1_ASM250708v1,GCA_002507085.1,Scaffold,ASM250708v1,PRJNA348753,SAMN06027389,GCA_002507085.1,full,archaeon UBA168,na,GCA_002507085.1,
GCA_002507125.1,ASM250712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/125/GCA_002507125.1_ASM250712v1,GCA_002507125.1,Scaffold,ASM250712v1,PRJNA348753,SAMN06027233,GCA_002507125.1,full,Euryarchaeota archaeon UBA528,na,GCA_002507125.1,
GCA_002507175.1,ASM250717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/175/GCA_002507175.1_ASM250717v1,GCA_002507175.1,Scaffold,ASM250717v1,PRJNA348753,SAMN06027288,GCA_002507175.1,full,Euryarchaeota archaeon UBA558,na,GCA_002507175.1,
GCA_002507205.1,ASM250720v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/205/GCA_002507205.1_ASM250720v1,GCA_002507205.1,Scaffold,ASM250720v1,PRJNA348753,SAMN06027367,GCA_002507205.1,full,Methanolobus sp. UBA32,na,GCA_002507205.1,
GCA_002507245.1,ASM250724v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/245/GCA_002507245.1_ASM250724v1,GCA_002507245.1,Scaffold,ASM250724v1,PRJNA348753,SAMN06027496,GCA_002507245.1,full,Candidatus Bathyarchaeota archaeon UBA233,na,GCA_002507245.1,
GCA_002507425.1,ASM250742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/425/GCA_002507425.1_ASM250742v1,GCA_002507425.1,Scaffold,ASM250742v1,PRJNA348753,SAMN06027194,GCA_002507425.1,full,Euryarchaeota archaeon UBA53,na,GCA_002507425.1,
GCA_002507545.1,ASM250754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/507/545/GCA_002507545.1_ASM250754v1,GCA_002507545.1,Scaffold,ASM250754v1,PRJNA348753,SAMN06027201,GCA_002507545.1,full,Archaeoglobus sp. UBA230,na,GCA_002507545.1,
GCA_002508315.1,ASM250831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/315/GCA_002508315.1_ASM250831v1,GCA_002508315.1,Scaffold,ASM250831v1,PRJNA348753,SAMN06027399,GCA_002508315.1,full,Thermocladium sp. UBA166,na,GCA_002508315.1,
GCA_002508425.1,ASM250842v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/425/GCA_002508425.1_ASM250842v1,GCA_002508425.1,Scaffold,ASM250842v1,PRJNA348753,SAMN06027602,GCA_002508425.1,full,Methanosarcinaceae archaeon UBA470,na,GCA_002508425.1,
GCA_002508495.1,ASM250849v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/495/GCA_002508495.1_ASM250849v1,GCA_002508495.1,Scaffold,ASM250849v1,PRJNA348753,SAMN06027536,GCA_002508495.1,full,Methanoregula sp. UBA276,na,GCA_002508495.1,
GCA_002508545.1,ASM250854v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/545/GCA_002508545.1_ASM250854v1,GCA_002508545.1,Scaffold,ASM250854v1,PRJNA348753,SAMN06027402,GCA_002508545.1,full,Methanomassiliicoccus sp. UBA6,na,GCA_002508545.1,
GCA_002508635.1,ASM250863v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/635/GCA_002508635.1_ASM250863v1,GCA_002508635.1,Scaffold,ASM250863v1,PRJNA348753,SAMN06027412,GCA_002508635.1,full,Methanolobus sp. UBA118,na,GCA_002508635.1,
GCA_002508705.1,ASM250870v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/508/705/GCA_002508705.1_ASM250870v1,GCA_002508705.1,Scaffold,ASM250870v1,PRJNA348753,SAMN06027555,GCA_002508705.1,full,Methanoculleus sp. UBA374,na,GCA_002508705.1,
GCA_002509085.1,ASM250908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/085/GCA_002509085.1_ASM250908v1,GCA_002509085.1,Scaffold,ASM250908v1,PRJNA348753,SAMN06027049,GCA_002509085.1,full,Methanobacteriaceae archaeon UBA588,na,GCA_002509085.1,
GCA_002509095.1,ASM250909v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/095/GCA_002509095.1_ASM250909v1,GCA_002509095.1,Scaffold,ASM250909v1,PRJNA348753,SAMN06027173,GCA_002509095.1,full,Methanobacteriaceae archaeon UBA254,na,GCA_002509095.1,
GCA_002509165.1,ASM250916v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/165/GCA_002509165.1_ASM250916v1,GCA_002509165.1,Scaffold,ASM250916v1,PRJNA348753,SAMN06027189,GCA_002509165.1,full,Euryarchaeota archaeon UBA488,na,GCA_002509165.1,
GCA_002509225.1,ASM250922v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/225/GCA_002509225.1_ASM250922v1,GCA_002509225.1,Scaffold,ASM250922v1,PRJNA348753,SAMN06027600,GCA_002509225.1,full,Euryarchaeota archaeon UBA102,na,GCA_002509225.1,
GCA_002509325.1,ASM250932v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/325/GCA_002509325.1_ASM250932v1,GCA_002509325.1,Scaffold,ASM250932v1,PRJNA348753,SAMN06027093,GCA_002509325.1,full,Methanosarcina sp. UBA402,na,GCA_002509325.1,
GCA_002509405.1,ASM250940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/405/GCA_002509405.1_ASM250940v1,GCA_002509405.1,Scaffold,ASM250940v1,PRJNA348753,SAMN06027459,GCA_002509405.1,full,Methanomassiliicoccaceae archaeon UBA72,na,GCA_002509405.1,
GCA_002509485.1,ASM250948v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/485/GCA_002509485.1_ASM250948v1,GCA_002509485.1,Scaffold,ASM250948v1,PRJNA348753,SAMN06027623,GCA_002509485.1,full,Methanolinea sp. UBA477,na,GCA_002509485.1,
GCA_002509495.1,ASM250949v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/495/GCA_002509495.1_ASM250949v1,GCA_002509495.1,Scaffold,ASM250949v1,PRJNA348753,SAMN06027619,GCA_002509495.1,full,Methanolinea sp. UBA473,na,GCA_002509495.1,
GCA_002509665.1,ASM250966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/665/GCA_002509665.1_ASM250966v1,GCA_002509665.1,Scaffold,ASM250966v1,PRJNA348753,SAMN06027422,GCA_002509665.1,full,Methanobacterium sp. UBA8,na,GCA_002509665.1,
GCA_002509745.1,ASM250974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/509/745/GCA_002509745.1_ASM250974v1,GCA_002509745.1,Scaffold,ASM250974v1,PRJNA348753,SAMN06027445,GCA_002509745.1,full,Methanobacteriaceae archaeon UBA349,na,GCA_002509745.1,
GCA_002572525.1,ASM257252v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/572/525/GCA_002572525.1_ASM257252v1,GCA_002572525.1,Contig,ASM257252v1,PRJNA224116,SAMN07714133,GCA_002572525.1,full,Natrinema sp. CBA1119,na,GCF_002572525.1,
GCA_002683155.1,ASM268315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/683/155/GCA_002683155.1_ASM268315v1,GCA_002683155.1,Contig,ASM268315v1,PRJNA391943,SAMN07618720,GCA_002683155.1,full,Euryarchaeota archaeon,na,GCA_002683155.1,
GCA_002685315.1,ASM268531v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/315/GCA_002685315.1_ASM268531v1,GCA_002685315.1,Contig,ASM268531v1,PRJNA391943,SAMN07618718,GCA_002685315.1,full,Euryarchaeota archaeon,na,GCA_002685315.1,
GCA_002685415.1,ASM268541v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/415/GCA_002685415.1_ASM268541v1,GCA_002685415.1,Contig,ASM268541v1,PRJNA391943,SAMN07618716,GCA_002685415.1,full,Euryarchaeota archaeon,na,GCA_002685415.1,
GCA_002685855.1,ASM268585v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/855/GCA_002685855.1_ASM268585v1,GCA_002685855.1,Contig,ASM268585v1,PRJNA391943,SAMN07620236,GCA_002685855.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002685855.1,
GCA_002685895.1,ASM268589v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/895/GCA_002685895.1_ASM268589v1,GCA_002685895.1,Contig,ASM268589v1,PRJNA391943,SAMN07618714,GCA_002685895.1,full,Euryarchaeota archaeon,na,GCA_002685895.1,
GCA_002686195.1,ASM268619v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/195/GCA_002686195.1_ASM268619v1,GCA_002686195.1,Contig,ASM268619v1,PRJNA391943,SAMN07619591,GCA_002686195.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002686195.1,
GCA_002686215.1,ASM268621v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/215/GCA_002686215.1_ASM268621v1,GCA_002686215.1,Contig,ASM268621v1,PRJNA391943,SAMN07620230,GCA_002686215.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002686215.1,
GCA_002686295.1,ASM268629v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/295/GCA_002686295.1_ASM268629v1,GCA_002686295.1,Contig,ASM268629v1,PRJNA391943,SAMN07620234,GCA_002686295.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002686295.1,
GCA_002686315.1,ASM268631v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/315/GCA_002686315.1_ASM268631v1,GCA_002686315.1,Contig,ASM268631v1,PRJNA391943,SAMN07618365,GCA_002686315.1,full,archaeon,na,GCA_002686315.1,
GCA_002686355.1,ASM268635v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/355/GCA_002686355.1_ASM268635v1,GCA_002686355.1,Contig,ASM268635v1,PRJNA391943,SAMN07619588,GCA_002686355.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002686355.1,
GCA_002686525.1,ASM268652v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/525/GCA_002686525.1_ASM268652v1,GCA_002686525.1,Contig,ASM268652v1,PRJNA391943,SAMN07618707,GCA_002686525.1,full,Euryarchaeota archaeon,na,GCA_002686525.1,
GCA_002686855.1,ASM268685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/686/855/GCA_002686855.1_ASM268685v1,GCA_002686855.1,Contig,ASM268685v1,PRJNA391943,SAMN07620237,GCA_002686855.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002686855.1,
GCA_002687075.1,ASM268707v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/075/GCA_002687075.1_ASM268707v1,GCA_002687075.1,Contig,ASM268707v1,PRJNA391943,SAMN07618712,GCA_002687075.1,full,Euryarchaeota archaeon,na,GCA_002687075.1,
GCA_002687185.1,ASM268718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/185/GCA_002687185.1_ASM268718v1,GCA_002687185.1,Contig,ASM268718v1,PRJNA391943,SAMN07618367,GCA_002687185.1,full,archaeon,na,GCA_002687185.1,
GCA_002687255.1,ASM268725v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/255/GCA_002687255.1_ASM268725v1,GCA_002687255.1,Contig,ASM268725v1,PRJNA391943,SAMN07619592,GCA_002687255.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002687255.1,
GCA_002687275.1,ASM268727v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/275/GCA_002687275.1_ASM268727v1,GCA_002687275.1,Contig,ASM268727v1,PRJNA391943,SAMN07620235,GCA_002687275.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002687275.1,
GCA_002687355.1,ASM268735v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/355/GCA_002687355.1_ASM268735v1,GCA_002687355.1,Contig,ASM268735v1,PRJNA391943,SAMN07618709,GCA_002687355.1,full,Euryarchaeota archaeon,na,GCA_002687355.1,
GCA_002687735.1,ASM268773v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/735/GCA_002687735.1_ASM268773v1,GCA_002687735.1,Contig,ASM268773v1,PRJNA391943,SAMN07618689,GCA_002687735.1,full,Candidatus Diapherotrites archaeon,na,GCA_002687735.1,
GCA_002687775.1,ASM268777v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/775/GCA_002687775.1_ASM268777v1,GCA_002687775.1,Contig,ASM268777v1,PRJNA391943,SAMN07619505,GCA_002687775.1,full,Nanoarchaeota archaeon,na,GCA_002687775.1,
GCA_002687795.1,ASM268779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/795/GCA_002687795.1_ASM268779v1,GCA_002687795.1,Contig,ASM268779v1,PRJNA391943,SAMN07620233,GCA_002687795.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002687795.1,
GCA_002687815.1,ASM268781v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/815/GCA_002687815.1_ASM268781v1,GCA_002687815.1,Contig,ASM268781v1,PRJNA391943,SAMN07618366,GCA_002687815.1,full,archaeon,na,GCA_002687815.1,
GCA_002687825.1,ASM268782v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/825/GCA_002687825.1_ASM268782v1,GCA_002687825.1,Contig,ASM268782v1,PRJNA391943,SAMN07619508,GCA_002687825.1,full,Nanoarchaeota archaeon,na,GCA_002687825.1,
GCA_002687935.1,ASM268793v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/687/935/GCA_002687935.1_ASM268793v1,GCA_002687935.1,Contig,ASM268793v1,PRJNA391943,SAMN07618708,GCA_002687935.1,full,Euryarchaeota archaeon,na,GCA_002687935.1,
GCA_002688015.1,ASM268801v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/015/GCA_002688015.1_ASM268801v1,GCA_002688015.1,Contig,ASM268801v1,PRJNA391943,SAMN07619589,GCA_002688015.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002688015.1,
GCA_002688035.1,ASM268803v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/035/GCA_002688035.1_ASM268803v1,GCA_002688035.1,Contig,ASM268803v1,PRJNA391943,SAMN07618688,GCA_002688035.1,full,Candidatus Diapherotrites archaeon,na,GCA_002688035.1,
GCA_002688095.1,ASM268809v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/095/GCA_002688095.1_ASM268809v1,GCA_002688095.1,Contig,ASM268809v1,PRJNA391943,SAMN07619507,GCA_002688095.1,full,Nanoarchaeota archaeon,na,GCA_002688095.1,
GCA_002688165.1,ASM268816v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/165/GCA_002688165.1_ASM268816v1,GCA_002688165.1,Contig,ASM268816v1,PRJNA391943,SAMN07619587,GCA_002688165.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002688165.1,
GCA_002688265.1,ASM268826v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/265/GCA_002688265.1_ASM268826v1,GCA_002688265.1,Contig,ASM268826v1,PRJNA391943,SAMN07618364,GCA_002688265.1,full,archaeon,na,GCA_002688265.1,
GCA_002688315.1,ASM268831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/315/GCA_002688315.1_ASM268831v1,GCA_002688315.1,Contig,ASM268831v1,PRJNA391943,SAMN07620232,GCA_002688315.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002688315.1,
GCA_002688325.1,ASM268832v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/325/GCA_002688325.1_ASM268832v1,GCA_002688325.1,Contig,ASM268832v1,PRJNA391943,SAMN07618363,GCA_002688325.1,full,archaeon,na,GCA_002688325.1,
GCA_002688335.1,ASM268833v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/335/GCA_002688335.1_ASM268833v1,GCA_002688335.1,Contig,ASM268833v1,PRJNA391943,SAMN07619586,GCA_002688335.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002688335.1,
GCA_002688355.1,ASM268835v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/355/GCA_002688355.1_ASM268835v1,GCA_002688355.1,Contig,ASM268835v1,PRJNA391943,SAMN07618362,GCA_002688355.1,full,archaeon,na,GCA_002688355.1,
GCA_002688395.1,ASM268839v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/395/GCA_002688395.1_ASM268839v1,GCA_002688395.1,Contig,ASM268839v1,PRJNA391943,SAMN07619506,GCA_002688395.1,full,Nanoarchaeota archaeon,na,GCA_002688395.1,
GCA_002688415.1,ASM268841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/415/GCA_002688415.1_ASM268841v1,GCA_002688415.1,Contig,ASM268841v1,PRJNA391943,SAMN07619585,GCA_002688415.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002688415.1,
GCA_002688775.1,ASM268877v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/775/GCA_002688775.1_ASM268877v1,GCA_002688775.1,Contig,ASM268877v1,PRJNA391943,SAMN07620227,GCA_002688775.1,full,Candidatus Woesearchaeota archaeon,na,GCA_002688775.1,
GCA_002688825.1,ASM268882v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/825/GCA_002688825.1_ASM268882v1,GCA_002688825.1,Contig,ASM268882v1,PRJNA391943,SAMN07618706,GCA_002688825.1,full,Euryarchaeota archaeon,na,GCA_002688825.1,
GCA_002688875.1,ASM268887v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/875/GCA_002688875.1_ASM268887v1,GCA_002688875.1,Contig,ASM268887v1,PRJNA391943,SAMN07619582,GCA_002688875.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002688875.1,
GCA_002688925.1,ASM268892v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/925/GCA_002688925.1_ASM268892v1,GCA_002688925.1,Contig,ASM268892v1,PRJNA391943,SAMN07618360,GCA_002688925.1,full,archaeon,na,GCA_002688925.1,
GCA_002688965.1,ASM268896v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/965/GCA_002688965.1_ASM268896v1,GCA_002688965.1,Contig,ASM268896v1,PRJNA391943,SAMN07618359,GCA_002688965.1,full,archaeon,na,GCA_002688965.1,
GCA_002689345.1,ASM268934v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/689/345/GCA_002689345.1_ASM268934v1,GCA_002689345.1,Contig,ASM268934v1,PRJNA391943,SAMN07618755,GCA_002689345.1,full,Euryarchaeota archaeon,na,GCA_002689345.1,
GCA_002689565.1,ASM268956v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/689/565/GCA_002689565.1_ASM268956v1,GCA_002689565.1,Contig,ASM268956v1,PRJNA391943,SAMN07618751,GCA_002689565.1,full,Euryarchaeota archaeon,na,GCA_002689565.1,
GCA_002689985.1,ASM268998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/689/985/GCA_002689985.1_ASM268998v1,GCA_002689985.1,Contig,ASM268998v1,PRJNA391943,SAMN07619584,GCA_002689985.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002689985.1,
GCA_002690445.1,ASM269044v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/445/GCA_002690445.1_ASM269044v1,GCA_002690445.1,Contig,ASM269044v1,PRJNA391943,SAMN07619581,GCA_002690445.1,full,Candidatus Pacearchaeota archaeon,na,GCA_002690445.1,
GCA_002690535.1,ASM269053v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/535/GCA_002690535.1_ASM269053v1,GCA_002690535.1,Contig,ASM269053v1,PRJNA391943,SAMN07619516,GCA_002690535.1,full,Nitrosopumilus sp.,na,GCA_002690535.1,
GCA_002692465.1,ASM269246v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/465/GCA_002692465.1_ASM269246v1,GCA_002692465.1,Contig,ASM269246v1,PRJNA391943,SAMN07618747,GCA_002692465.1,full,Euryarchaeota archaeon,na,GCA_002692465.1,
GCA_002693165.1,ASM269316v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/165/GCA_002693165.1_ASM269316v1,GCA_002693165.1,Contig,ASM269316v1,PRJNA391943,SAMN07620157,GCA_002693165.1,full,Thaumarchaeota archaeon,na,GCA_002693165.1,
GCA_002694245.1,ASM269424v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/694/245/GCA_002694245.1_ASM269424v1,GCA_002694245.1,Contig,ASM269424v1,PRJNA391943,SAMN07618741,GCA_002694245.1,full,Euryarchaeota archaeon,na,GCA_002694245.1,
GCA_002694525.1,ASM269452v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/694/525/GCA_002694525.1_ASM269452v1,GCA_002694525.1,Contig,ASM269452v1,PRJNA391943,SAMN07618735,GCA_002694525.1,full,Euryarchaeota archaeon,na,GCA_002694525.1,
